,0
Start,2017-04-19 09:00:00
End,2017-05-24 08:00:00
Duration,34 days 23:00:00
Exposure Time [%],48.5
Equity Final [$],11500.42301505006
Equity Peak [$],11775.144667834602
Commissions [$],308.45648494995197
Return [%],15.004230150500607
Buy & Hold Return [%],2.5825385179750517
Return (Ann.) [%],211.5620563356497
Volatility (Ann.) [%],60.95396983432024
CAGR [%],173.94318022237934
Sharpe Ratio,3.470849510059791
Sortino Ratio,27.710359417518227
Calmar Ratio,90.67992254438812
Alpha [%],14.017965305700944
Beta,0.38189743848350627
Max. Drawdown [%],-2.333063928590029
Avg. Drawdown [%],-0.5013683364835076
Max. Drawdown Duration,6 days 11:00:00
Avg. Drawdown Duration,0 days 12:00:00
# Trades,18
Win Rate [%],88.88888888888889
Best Trade [%],0.3617501473162488
Worst Trade [%],-0.44170670255139505
Avg. Trade [%],0.1956814930060613
Max. Trade Duration,2 days 08:00:00
Avg. Trade Duration,0 days 21:00:00
Profit Factor,7.990960683966693
Expectancy [%],0.19592122966031514
SQN,3.532698970164767
Kelly Criterion,0.7695496156516688
_strategy,"MLWalkForwardStrategy(n_train=200,retrain_frequency=20)"
_equity_curve,"                           Equity  DrawdownPct DrawdownDuration
2017-04-19 09:00:00  10000.000000     0.000000              NaT
2017-04-19 10:00:00  10000.000000     0.000000              NaT
2017-04-19 11:00:00  10000.000000     0.000000              NaT
2017-04-19 12:00:00  10000.000000     0.000000              NaT
2017-04-19 13:00:00  10000.000000     0.000000              NaT
...                           ...          ...              ...
2017-05-24 04:00:00  11500.423015     0.023331              NaT
2017-05-24 05:00:00  11500.423015     0.023331              NaT
2017-05-24 06:00:00  11500.423015     0.023331              NaT
2017-05-24 07:00:00  11500.423015     0.023331              NaT
2017-05-24 08:00:00  11500.423015     0.023331  6 days 11:00:00

[600 rows x 3 columns]"
_trades,"     Size  EntryBar  ExitBar  EntryPrice  ExitPrice        SL        TP  ...            ExitTime        Duration   Tag Entry_y_true Exit_y_true Entry_forecast Exit_forecast
0   36684       222      269     1.09017   1.094511  1.085789  1.094511  ... 2017-05-04 14:00:00 1 days 23:00:00  None          1.0         0.0            1.0           1.0
1   37060       270      283     1.09454   1.098898  1.090142  1.098898  ... 2017-05-05 04:00:00 0 days 13:00:00  None          0.0        -1.0            1.0           1.0
2   37460       284      295     1.09838   1.099500  1.093957  1.102743  ... 2017-05-05 16:00:00 0 days 11:00:00  None         -1.0        -1.0            1.0          -1.0
3  -37514       295      299     1.09950   1.099750  1.103918  1.095122  ... 2017-05-05 20:00:00 0 days 04:00:00  None         -1.0        -1.0           -1.0           1.0
4   37412       299      301     1.09975   1.100200  1.100200  1.104179  ... 2017-05-07 22:00:00 2 days 02:00:00  None         -1.0        -1.0            1.0          -1.0
5  -37428       302      303     1.09930   1.096470  1.103717  1.094923  ... 2017-05-08 00:00:00 0 days 01:00:00  None         -1.0        -1.0            1.0           1.0
6   37851       303      308     1.09647   1.097210  1.092114  1.100886  ... 2017-05-08 05:00:00 0 days 05:00:00  None         -1.0        -1.0            1.0          -1.0
7  -37867       308      318     1.09721   1.092851  1.101629  1.092851  ... 2017-05-08 15:00:00 0 days 10:00:00  None         -1.0        -1.0           -1.0          -1.0
8  -38564       319      338     1.09278   1.088429  1.097171  1.088429  ... 2017-05-09 11:00:00 0 days 19:00:00  None         -1.0         0.0           -1.0          -1.0
9  -39267       339      386     1.08860   1.087040  1.092985  1.084275  ... 2017-05-11 11:00:00 1 days 23:00:00  None          0.0         1.0           -1.0           1.0
10  39486       386      412     1.08704   1.091358  1.082662  1.091358  ... 2017-05-12 13:00:00 1 days 02:00:00  None          1.0         1.0            1.0           1.0
11  39861       413      421     1.09220   1.092920  1.092920  1.096599  ... 2017-05-14 22:00:00 2 days 08:00:00  None          1.0         1.0            1.0           1.0
12  39887       422      433     1.09262   1.096970  1.088230  1.096970  ... 2017-05-15 10:00:00 0 days 11:00:00  None          1.0         1.0            1.0           1.0
13  40298       434      453     1.09696   1.101368  1.092592  1.101368  ... 2017-05-16 06:00:00 0 days 19:00:00  None          1.0         1.0            1.0           1.0
14  40716       454      457     1.10139   1.105816  1.097004  1.105816  ... 2017-05-16 10:00:00 0 days 03:00:00  None          1.0         1.0            1.0           1.0
15  41159       458      471     1.10530   1.109741  1.100899  1.109741  ... 2017-05-17 00:00:00 0 days 13:00:00  None          1.0         0.0            1.0           1.0
16  41595       472      485     1.10954   1.113998  1.105122  1.113998  ... 2017-05-17 14:00:00 0 days 13:00:00  None          0.0         1.0            1.0           1.0
17  42002       486      512     1.11468   1.110201  1.110201  1.119119  ... 2017-05-18 17:00:00 1 days 02:00:00  None          1.0         1.0            1.0           NaN

[18 rows x 18 columns]"
