Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_y_true,Exit_y_true,Entry_forecast,Exit_forecast
-216,200,201,9230.0,9876.1,9876.1,8583.9,-142859.1340800001,3301.5340800000004,-0.07165600000000007,2019-10-27,2019-10-28,1 days,,-1.0,1.0,-1.0,-1.0
-214,202,206,9204.45,9279.0,9279.0,8560.7802,-19118.066639999844,3164.36664,-0.009705822727050503,2019-10-29,2019-11-02,4 days,,0.0,-1.0,-1.0,-1.0
-211,207,214,9289.85,8880.0,8880.0,8639.2536,83411.27932000007,3067.07068,0.04255333724441198,2019-11-03,2019-11-10,7 days,,-1.0,-1.0,-1.0,-1.0
-219,215,219,9040.16,8406.7071,8800.0,8406.7071,135669.49398408007,3056.69111592,0.06852704004353906,2019-11-11,2019-11-15,4 days,,-1.0,-1.0,-1.0,-1.0
-237,220,224,8471.62,8218.63,8218.63,7878.708899999999,56794.15860000038,3164.4714000000004,0.028287128081760194,2019-11-16,2019-11-20,4 days,,-1.0,-1.0,-1.0,-1.0
-249,225,225,8098.56,7531.1493,8664.870700000001,7531.1493,138171.82620744008,3113.4380925600003,0.06851920990398296,2019-11-21,2019-11-21,0 days,,-1.0,-1.0,1.0,1.0
268,226,226,7627.79,7093.798199999999,7093.798199999999,8161.6818,-146266.1109100802,3156.30851008,-0.07155009125316775,2019-11-22,2019-11-22,0 days,,1.0,1.0,-1.0,-1.0
-277,227,229,7268.23,6759.4538999999995,7777.0061,6759.4538999999995,137822.44494776003,3108.5347522399998,0.06845600000000006,2019-11-23,2019-11-25,2 days,,1.0,1.0,-1.0,1.0
287,230,231,7109.99,7607.2399000000005,6611.900099999999,7607.2399000000005,139331.64531496022,3379.07598504,0.06828084372551871,2019-11-26,2019-11-27,1 days,,1.0,-1.0,1.0,-1.0
-276,232,233,7507.9,7418.52,8034.116400000001,6982.9236,21373.12646399978,3295.753536,0.01031431745228352,2019-11-28,2019-11-29,1 days,,0.0,-1.0,1.0,-1.0
280,233,234,7418.52,7740.99,6900.1257,7938.8543,86895.86975999981,3395.73024,0.04183346435677183,2019-11-29,2019-11-30,1 days,,-1.0,0.0,-1.0,-1.0
-270,234,236,7740.99,7197.9024,8281.457600000002,7197.9024,143406.85124159994,3226.8007584,0.06861350887677152,2019-11-30,2019-12-02,2 days,,0.0,0.0,-1.0,-1.0
-291,237,241,7294.42,7590.03,7590.03,6783.680399999999,-89487.60995999991,3465.0999600000005,-0.04215791797017446,2019-12-03,2019-12-07,4 days,,0.0,-1.0,-1.0,-1.0
-281,242,246,7487.31,7275.5,7275.5,6964.0353,56199.93031200011,3318.679688,0.026711830016387793,2019-12-08,2019-12-12,4 days,,-1.0,0.0,-1.0,-1.0
-294,247,251,7197.76,6694.2144,7150.0,6694.2144,144775.01402112012,3267.3923788800003,0.06841462072644833,2019-12-13,2019-12-17,4 days,,0.0,1.0,-1.0,-1.0
-324,252,252,6623.84,7087.4874,7087.4874,6160.152599999999,-153775.73366207996,3553.97606208,-0.07165276666103053,2019-12-18,2019-12-18,0 days,,0.0,0.0,-1.0,-1.0
-290,253,257,7277.83,7518.54,7518.54,6768.381899999999,-73238.65784000001,3432.75784,-0.03470087869598498,2019-12-19,2019-12-23,4 days,,0.0,0.0,-1.0,-1.0
