,0
Start,2021-01-01 00:00:00
End,2022-02-04 00:00:00
Duration,399 days 00:00:00
Exposure Time [%],1.7500000000000002
Equity Final [$],8991.574924551998
Equity Peak [$],10000.0
Commissions [$],91.462715448
Return [%],-10.084250754480017
Buy & Hold Return [%],34.80778802612869
Return (Ann.) [%],-9.244043591964935
Volatility (Ann.) [%],3.4501990927659225
CAGR [%],-9.266103496905654
Sharpe Ratio,-2.6792783092856993
Sortino Ratio,-2.4148806016995708
Calmar Ratio,-0.9166812504992685
Alpha [%],-9.941740658065632
Beta,-0.0040942014559330496
Max. Drawdown [%],-10.084250754480017
Avg. Drawdown [%],-10.084250754480017
Max. Drawdown Duration,200 days 00:00:00
Avg. Drawdown Duration,200 days 00:00:00
# Trades,7
Win Rate [%],0.0
Best Trade [%],-0.4400501433723452
Worst Trade [%],-0.4497148067554615
Avg. Trade [%],-0.4415680849542025
Max. Trade Duration,0 days 00:00:00
Avg. Trade Duration,0 days 00:00:00
Profit Factor,0.0
Expectancy [%],-0.44156802903585185
SQN,-41.815493090969426
Kelly Criterion,
_strategy,"OptimizedMLStrategy(n_train=200,retrain_frequency=50)"
_equity_curve,"                  Equity  DrawdownPct DrawdownDuration
date                                                  
2021-01-01  10000.000000     0.000000              NaT
2021-01-02  10000.000000     0.000000              NaT
2021-01-03  10000.000000     0.000000              NaT
2021-01-04  10000.000000     0.000000              NaT
2021-01-05  10000.000000     0.000000              NaT
...                  ...          ...              ...
2022-01-31   8991.574925     0.100843              NaT
2022-02-01   8991.574925     0.100843              NaT
2022-02-02   8991.574925     0.100843              NaT
2022-02-03   8991.574925     0.100843              NaT
2022-02-04   8991.574925     0.100843         200 days

[400 rows x 3 columns]"
_trades,"   Size  EntryBar  ExitBar  EntryPrice    ExitPrice           SL           TP         PnL  Commission  ReturnPct  EntryTime   ExitTime Duration   Tag  Entry_y_true  Exit_y_true  Entry_forecast  Exit_forecast
0    -1       200      200    30839.65  30963.00860  30963.00860  30716.29140 -135.719132   12.360532  -0.004401 2021-07-20 2021-07-20   0 days  None           1.0          1.0            -1.0           -1.0
1    -1       201      201    29790.34  29909.51140  29909.51140  29671.18860 -131.111370   11.939970  -0.004401 2021-07-21 2021-07-21   0 days  None           1.0          1.0            -1.0           -1.0
2    -1       202      202    32144.51  32273.08804  32273.08804  32015.93196 -141.461560   12.883520  -0.004401 2021-07-22 2021-07-22   0 days  None           1.0          1.0            -1.0           -1.0
3    -1       203      203    32287.58  32416.98132  32416.98132  32158.67868 -142.342232   12.940912  -0.004409 2021-07-23 2021-07-23   0 days  None           1.0          1.0            -1.0           -1.0
4    -1       204      204    33634.10  33768.62636  33768.62636  33499.55364 -148.006905   13.480545  -0.004401 2021-07-24 2021-07-24   0 days  None           1.0          1.0             1.0            1.0
5     1       205      205    34261.51  34121.10744  34121.10744  34395.17256 -154.079083   13.676523  -0.004497 2021-07-25 2021-07-25   0 days  None           1.0          1.0            -1.0           -1.0
6    -1       206      206    35381.02  35522.54408  35522.54408  35239.49592 -155.704793   14.180713  -0.004401 2021-07-26 2021-07-26   0 days  None           1.0          1.0            -1.0           -1.0"
