Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_y_true,Exit_y_true,Entry_forecast,Exit_forecast
669,100,101,59769.13,60964.5126,58573.74739999999,60964.5126,783556.7980201229,16154.161379880003,0.019596000000000016,2021-04-11,2021-04-12,1 days,,1.0,1.0,1.0,1.0
720,102,102,59860.01,61057.200000000004,58662.799999999996,61057.200000000004,844564.7217600017,17412.078240000003,0.019595829636513695,2021-04-13,2021-04-13,0 days,,-1.0,-1.0,0.0,0.0
-738,104,105,62959.53,63158.74,64218.7206,61700.3394,-165632.03665199934,18615.056652,-0.003564728866304974,2021-04-15,2021-04-16,1 days,,-1.0,-1.0,1.0,-1.0
725,105,105,63158.74,61896.7804,61896.7804,64423.1796,-933053.7604579962,18133.050458,-0.02037676343891584,2021-04-16,2021-04-16,0 days,,-1.0,-1.0,-1.0,-1.0
-686,106,106,61334.81,60108.104,62561.49600000001,60108.104,824858.3481991988,16661.967800799997,0.019604159810717548,2021-04-17,2021-04-17,0 days,,-1.0,-1.0,1.0,1.0
756,107,107,60006.67,58806.5268,58806.5268,61206.79320000001,-925272.814556159,17964.55535616,-0.02039616328251503,2021-04-18,2021-04-18,0 days,,-1.0,-1.0,1.0,1.0
742,108,108,56150.01,55027.0098,55027.0098,57273.010200000004,-849764.8181383217,16498.66973832,-0.02039600000000002,2021-04-19,2021-04-19,0 days,,-1.0,-1.0,1.0,1.0
688,109,109,55633.14,54520.4772,54520.4772,56745.8028,-780669.1441267187,15157.13772672,-0.02039600000000002,2021-04-20,2021-04-20,0 days,,-1.0,-1.0,0.0,0.0
-654,111,111,53787.62,54863.3826,54863.3826,52711.8774,-717760.2915400764,14211.551140080002,-0.020404189672642004,2021-04-22,2021-04-22,0 days,,-1.0,-1.0,0.0,0.0
-632,113,113,51110.56,50102.6372,52147.6428,50102.6372,624213.8614739202,12793.34812608,0.0193243854217211,2021-04-24,2021-04-24,0 days,,1.0,1.0,1.0,1.0
695,114,114,50047.84,49046.8832,49046.8832,51048.7968,-709439.1425247999,13774.166524799999,-0.02039600000000002,2021-04-25,2021-04-25,0 days,,1.0,1.0,1.0,1.0
651,115,115,49066.76,50048.1054,48085.43459999999,50048.1054,625951.099924919,12904.75547508,0.019596207838463414,2021-04-26,2021-04-26,0 days,,0.0,0.0,1.0,1.0
638,116,116,54001.38,55081.4178,52921.362199999996,55081.4178,675145.1514007235,13918.96499928,0.019596188846285154,2021-04-27,2021-04-27,0 days,,1.0,1.0,0.0,0.0
