metric,baseline,regime_filtered,improvement,pct_change
Return [%],-95.34833946037861,-18.096880404539036,77.25145905583958,81.02024586169215
Buy & Hold Return [%],66.24239111422074,66.24239111422074,0.0,0.0
Max Drawdown [%],-95.756401925826,-20.23543438140747,75.52096754441853,78.86779998575754
Sharpe Ratio,-26.801780115000643,-2.3041398139855778,24.497640301015064,91.40303441003167
Sortino Ratio,-1.6168845185409835,-1.8668280729815792,-0.24994355444059568,-15.458342978392512
# Trades,260.0,11.0,-249.0,-95.76923076923077
Win Rate [%],31.92307692307692,18.181818181818183,-13.741258741258736,-43.04490690032858
Avg Trade [%],-0.05766184874763658,-0.09287088711418257,-0.035209038366545986,-61.06123742345171
Best Trade [%],0.9841848006557458,0.23085296079073506,-0.7533318398650107,-76.54373846894185
Worst Trade [%],-0.823439718914798,-0.22741220728754807,0.5960275116272499,72.38265266251037
Exposure Time [%],2.979,0.1,-2.879,-96.6431688486069
