symbol,threshold,horizon,direction,n_events,win_rate,runs_p,runs_z,max_unfavorable_streak,mean_unfavorable_streak,streak_balance,is_clustered
SOL,0.2,100,bullish,590,0.35423728813559324,0.0,-12.60438059342099,19,5.7727272727272725,0.5569957601453664,True
SOL,0.2,100,bearish,404,0.33663366336633666,0.0,-9.085556450685798,20,5.36,0.5074626865671642,True
ETH,0.2,50,bullish,425,0.34823529411764703,0.0,-8.873613127206546,15,4.946428571428571,0.5440105021332459,True
ETH,0.2,100,bullish,425,0.30823529411764705,0.0,-9.711360753088295,33,6.0,0.4548611111111111,True
SOL,0.1,50,bullish,253,0.3359683794466403,0.0,-8.31768015833832,23,6.0,0.5246913580246914,True
BTC,0.2,100,bullish,606,0.367986798679868,0.0,-13.451311316676893,17,5.892307692307693,0.5913430156657963,True
BTC,0.2,100,bearish,609,0.35960591133004927,0.0,-13.781603405737991,33,6.190476190476191,0.5705955334987592,True
BTC,0.2,50,bullish,606,0.3481848184818482,0.0,-11.383112328046334,17,5.266666666666667,0.5413958262059528,True
BTC,0.2,50,bearish,609,0.35467980295566504,0.0,-11.32218641566668,31,5.171052631578948,0.5496183206106869,True
BTC,0.2,30,bullish,606,0.31353135313531355,0.0,-9.62283255159234,27,5.2,0.4567307692307692,True
BTC,0.2,20,bearish,609,0.3366174055829228,0.0,-8.445498821602097,39,4.488888888888889,0.5074257425742574,True
BTC,0.15,100,bullish,455,0.35384615384615387,0.0,-10.99045785754474,17,5.764705882352941,0.5476190476190476,True
BTC,0.15,100,bearish,455,0.3824175824175824,0.0,-11.618508897842016,25,5.62,0.6318541651536059,True
BTC,0.15,50,bullish,455,0.3362637362637363,0.0,-8.42428655831551,19,4.870967741935484,0.5066225165562914,True
BTC,0.15,50,bearish,455,0.367032967032967,0.0,-9.638919123666673,31,4.88135593220339,0.5898587164750958,True
SOL,0.15,50,bullish,420,0.3619047619047619,0.0,-9.308054211628248,26,4.962962962962963,0.5778653900309771,True
BTC,0.2,30,bearish,609,0.35139573070607555,0.0,-9.307958662015327,21,4.540229885057471,0.5417721518987342,True
SOL,0.2,50,bullish,590,0.3644067796610169,0.0,-12.748747404061767,28,5.681818181818182,0.5821538461538461,True
SOL,0.2,30,bullish,590,0.3389830508474576,0.0,-10.521063476431348,21,5.131578947368421,0.5196581196581196,True
SOL,0.2,20,bullish,590,0.3101694915254237,0.0,-9.870210925465436,33,5.355263157894737,0.4556265356265356,True
SOL,0.15,100,bullish,420,0.37142857142857144,0.0,-9.848348593383774,21,5.076923076923077,0.6024955436720143,True
BTC,0.2,20,bullish,606,0.3118811881188119,6.661338147750939e-16,-8.063691990044704,23,4.738636363636363,0.4532374100719425,True
SOL,0.2,50,bearish,404,0.3292079207920792,4.6629367034256575e-15,-7.8334823254461705,23,4.927272727272728,0.4907749077490774,True
ETH,0.15,100,bullish,309,0.313915857605178,5.10702591327572e-15,-7.8221064294201,25,5.578947368421052,0.46991330953595106,True
BTC,0.1,100,bearish,275,0.43636363636363634,7.771561172376096e-15,-7.771284488610763,17,4.1891891891891895,0.7956989247311828,True
SOL,0.15,30,bullish,420,0.34523809523809523,4.241051954068098e-14,-7.5532010364536175,31,4.508196721311475,0.536060606060606,True
SOL,0.1,20,bullish,253,0.3201581027667984,4.39648317751562e-14,-7.548875576685071,18,5.733333333333333,0.4871692060946271,True
BTC,0.15,30,bearish,455,0.33406593406593404,1.0635936575909e-13,-7.432623519019939,21,4.522388059701493,0.5092509250925092,True
SOL,0.1,100,bullish,253,0.3241106719367589,2.5779378631796135e-13,-7.314829967806846,16,5.516129032258065,0.4955165692007797,True
ETH,0.2,100,bearish,316,0.3829113924050633,2.5912605394751154e-13,-7.314133275196115,26,4.333333333333333,0.6346153846153847,True
BTC,0.1,100,bullish,267,0.36329588014981273,4.89608353859694e-13,-7.228150520831945,10,4.857142857142857,0.5705882352941177,True
BTC,0.15,30,bullish,455,0.3142857142857143,1.3162804179955856e-12,-7.092593306004906,18,4.7272727272727275,0.45833333333333326,True
ETH,0.15,50,bullish,309,0.3592233009708738,3.2962521601120898e-12,-6.964482030659653,17,4.5,0.5736434108527132,True
BTC,0.1,50,bearish,275,0.38545454545454544,4.405364961712621e-12,-6.923528728726182,18,4.333333333333333,0.6437246963562753,True
SOL,0.15,20,bullish,420,0.3238095238095238,4.828804023304656e-12,-6.910517674606904,27,4.580645161290323,0.48672362041099043,True
SOL,0.1,30,bullish,253,0.3359683794466403,3.5280223187328374e-11,-6.622655526796157,23,4.9411764705882355,0.5212842712842712,True
ETH,0.2,30,bullish,425,0.35294117647058826,3.942002280155066e-11,-6.60624133767725,15,4.104477611940299,0.5537190082644629,True
